2026-05-27 09:51:42,438 | INFO | shape | calculating area
2026-05-27 09:52:49,738 | INFO | shape | calculating area
2026-05-27 09:53:16,933 | INFO | shape | calculating area
2026-05-27 09:54:07,436 | INFO | logger | calculating area
2026-05-27 10:04:19,137 | INFO | logger | calculating area
2026-05-27 10:04:34,544 | INFO | __main__ | calculating area
2026-05-27 10:05:23,771 | INFO | __main__ | calculating area
2026-05-27 10:05:54,702 | INFO | Rectangle | calculating area
2026-05-27 10:07:05,170 | INFO | Rectangle | creating dictionary
2026-05-27 10:07:05,170 | INFO | Rectangle | calculating area
2026-05-27 10:07:05,170 | INFO | Rectangle | calculating perimeter
2026-05-27 10:45:05,467 | INFO | circle | creating dictionary
2026-05-27 10:45:05,469 | INFO | circle | calculating area
2026-05-27 10:45:05,470 | INFO | circle | calculating perimeter
2026-05-27 10:45:26,071 | INFO | square | creating dictionary
2026-05-27 10:45:26,071 | INFO | square | calculating area
2026-05-27 10:45:26,072 | INFO | square | calculating perimeter
2026-05-27 10:45:33,322 | INFO | circle | creating dictionary
2026-05-27 10:45:33,322 | INFO | circle | calculating area
2026-05-27 10:45:33,323 | INFO | circle | calculating perimeter
2026-05-27 11:15:19,375 | INFO | circle | creating dictionary
2026-05-27 11:15:19,375 | INFO | circle | calculating area
2026-05-27 11:15:19,376 | INFO | circle | calculating perimeter
2026-05-27 11:15:19,378 | INFO | square | creating dictionary
2026-05-27 11:15:19,379 | INFO | square | calculating area
2026-05-27 11:15:19,380 | INFO | square | calculating perimeter
2026-05-27 11:15:19,404 | INFO | Rectangle | creating dictionary
2026-05-27 11:15:19,404 | INFO | Rectangle | calculating area
2026-05-27 11:15:19,404 | INFO | Rectangle | calculating perimeter
2026-05-27 11:15:26,477 | INFO | circle | creating dictionary
2026-05-27 11:15:26,477 | INFO | circle | calculating area
2026-05-27 11:15:26,478 | INFO | circle | calculating perimeter
2026-05-27 11:15:26,479 | INFO | square | creating dictionary
2026-05-27 11:15:26,479 | INFO | square | calculating area
2026-05-27 11:15:26,479 | INFO | square | calculating perimeter
2026-05-27 11:15:26,480 | INFO | Rectangle | creating dictionary
2026-05-27 11:15:26,480 | INFO | Rectangle | calculating area
2026-05-27 11:15:26,480 | INFO | Rectangle | calculating perimeter
2026-05-27 11:15:35,098 | INFO | circle | creating dictionary
2026-05-27 11:15:35,098 | INFO | circle | calculating area
2026-05-27 11:15:35,098 | INFO | circle | calculating perimeter
2026-05-27 11:15:35,100 | INFO | square | creating dictionary
2026-05-27 11:15:35,100 | INFO | square | calculating area
2026-05-27 11:15:35,100 | INFO | square | calculating perimeter
2026-05-27 11:15:35,101 | INFO | Rectangle | creating dictionary
2026-05-27 11:15:35,102 | INFO | Rectangle | calculating area
2026-05-27 11:15:35,102 | INFO | Rectangle | calculating perimeter
2026-05-27 11:15:56,483 | INFO | circle | creating dictionary
2026-05-27 11:15:56,484 | INFO | circle | calculating area
2026-05-27 11:15:56,484 | INFO | circle | calculating perimeter
2026-05-27 11:15:56,485 | INFO | square | creating dictionary
2026-05-27 11:15:56,485 | INFO | square | calculating area
2026-05-27 11:15:56,486 | INFO | square | calculating perimeter
2026-05-27 11:15:56,487 | INFO | Rectangle | creating dictionary
2026-05-27 11:15:56,487 | INFO | Rectangle | calculating area
2026-05-27 11:15:56,487 | INFO | Rectangle | calculating perimeter
2026-05-27 11:16:05,832 | INFO | circle | creating dictionary
2026-05-27 11:16:05,833 | INFO | circle | calculating area
2026-05-27 11:16:05,833 | INFO | circle | calculating perimeter
2026-05-27 11:16:59,563 | INFO | circle | creating dictionary
2026-05-27 11:16:59,564 | INFO | circle | calculating area
2026-05-27 11:16:59,564 | INFO | circle | calculating perimeter
2026-05-27 11:16:59,565 | INFO | square | creating dictionary
2026-05-27 11:16:59,565 | INFO | square | calculating area
2026-05-27 11:16:59,565 | INFO | square | calculating perimeter
2026-05-27 11:16:59,566 | INFO | Rectangle | creating dictionary
2026-05-27 11:16:59,567 | INFO | Rectangle | calculating area
2026-05-27 11:16:59,567 | INFO | Rectangle | calculating perimeter
2026-05-27 11:17:12,974 | INFO | circle | creating dictionary
2026-05-27 11:17:12,974 | INFO | circle | calculating area
2026-05-27 11:17:12,975 | INFO | circle | calculating perimeter
2026-05-27 11:18:47,560 | INFO | circle | creating dictionary
2026-05-27 11:18:47,560 | INFO | circle | calculating area
2026-05-27 11:18:47,560 | INFO | circle | calculating perimeter
2026-05-27 11:18:47,562 | INFO | square | creating dictionary
2026-05-27 11:18:47,563 | INFO | square | calculating area
2026-05-27 11:18:47,563 | INFO | square | calculating perimeter
2026-05-27 11:18:47,565 | INFO | Rectangle | creating dictionary
2026-05-27 11:18:47,565 | INFO | Rectangle | calculating area
2026-05-27 11:18:47,565 | INFO | Rectangle | calculating perimeter
2026-05-27 11:20:03,646 | INFO | Rectangle | creating dictionary
2026-05-27 11:20:03,646 | INFO | Rectangle | calculating area
2026-05-27 11:20:03,647 | INFO | Rectangle | calculating perimeter
2026-05-27 15:35:16,548 | INFO | circle | creating dictionary
2026-05-27 15:35:16,550 | INFO | circle | calculating area
2026-05-27 15:35:16,550 | INFO | circle | calculating perimeter
2026-05-27 15:35:37,827 | INFO | Rectangle | creating dictionary
2026-05-27 15:35:37,827 | INFO | Rectangle | calculating area
2026-05-27 15:35:37,827 | INFO | Rectangle | calculating perimeter
2026-05-27 15:37:22,876 | INFO | Rectangle | creating dictionary
2026-05-27 15:37:22,877 | INFO | Rectangle | calculating area
2026-05-27 15:37:22,877 | INFO | Rectangle | calculating perimeter
2026-05-27 15:53:54,774 | INFO | circle | creating dictionary
2026-05-27 15:53:54,774 | INFO | circle | calculating area
2026-05-27 15:53:54,775 | INFO | circle | calculating perimeter
2026-05-27 15:54:23,819 | INFO | circle | creating dictionary
2026-05-27 15:54:23,820 | INFO | circle | calculating area
2026-05-27 15:54:23,820 | INFO | circle | calculating perimeter
2026-05-27 15:54:41,004 | INFO | circle | creating dictionary
2026-05-27 15:54:41,005 | INFO | circle | calculating area
2026-05-27 15:54:41,005 | INFO | circle | calculating perimeter
2026-05-27 15:55:23,557 | INFO | circle | creating dictionary
2026-05-27 15:55:23,558 | INFO | circle | calculating area
2026-05-27 15:55:23,558 | INFO | circle | calculating perimeter
2026-05-27 15:55:46,002 | INFO | circle | creating dictionary
2026-05-27 15:55:46,002 | INFO | circle | calculating area
2026-05-27 15:55:46,003 | INFO | circle | calculating perimeter
2026-05-27 15:57:02,668 | INFO | circle | creating dictionary
2026-05-27 15:57:02,669 | INFO | circle | calculating area
2026-05-27 15:57:02,669 | INFO | circle | calculating perimeter
2026-05-27 15:58:10,304 | INFO | circle | creating dictionary
2026-05-27 15:58:10,304 | INFO | circle | calculating area
2026-05-27 15:58:10,305 | INFO | circle | calculating perimeter
2026-05-27 15:59:15,725 | INFO | circle | creating dictionary
2026-05-27 15:59:15,726 | INFO | circle | calculating area
2026-05-27 15:59:15,726 | INFO | circle | calculating perimeter
2026-05-27 16:00:08,248 | INFO | circle | creating dictionary
2026-05-27 16:00:08,248 | INFO | circle | calculating area
2026-05-27 16:00:08,248 | INFO | circle | calculating perimeter
2026-05-27 16:00:08,248 | INFO | Rectangle | assdddf
2026-05-27 16:00:52,706 | INFO | circle | creating dictionary
2026-05-27 16:00:52,706 | INFO | circle | calculating area
2026-05-27 16:00:52,706 | INFO | circle | calculating perimeter
2026-05-27 16:00:52,706 | INFO | Rectangle | assdddf
2026-05-27 16:03:49,403 | INFO | circle | creating dictionary
2026-05-27 16:03:49,403 | INFO | circle | calculating area
2026-05-27 16:03:49,403 | INFO | circle | calculating perimeter
2026-05-27 16:03:49,404 | INFO | Rectangle | assdddf
2026-05-27 16:04:07,114 | INFO | square | creating dictionary
2026-05-27 16:04:07,114 | INFO | square | calculating area
2026-05-27 16:04:07,114 | INFO | square | calculating perimeter
2026-05-27 16:04:07,115 | INFO | Rectangle | assdddf
2026-05-27 16:29:13,199 | INFO | circle | creating dictionary
2026-05-27 16:29:13,214 | INFO | circle | calculating area
2026-05-27 16:29:13,215 | INFO | circle | calculating perimeter
2026-05-27 16:29:13,215 | INFO | Rectangle | assdddf
2026-05-27 16:32:06,874 | INFO | circle | creating dictionary
2026-05-27 16:32:06,874 | INFO | circle | calculating area
2026-05-27 16:32:06,875 | INFO | circle | calculating perimeter
2026-05-27 16:32:06,875 | INFO | Rectangle | assdddf
2026-05-27 16:32:33,184 | INFO | circle | creating dictionary
2026-05-27 16:32:33,184 | INFO | circle | calculating area
2026-05-27 16:32:33,184 | INFO | circle | calculating perimeter
2026-05-27 16:32:33,184 | INFO | Rectangle | assdddf
2026-05-27 16:33:23,597 | INFO | circle | creating dictionary
2026-05-27 16:33:23,597 | INFO | circle | calculating area
2026-05-27 16:33:23,597 | INFO | circle | calculating perimeter
2026-05-27 16:33:23,598 | INFO | Rectangle | assdddf
2026-05-27 16:36:24,588 | INFO | circle | creating dictionary
2026-05-27 16:36:24,588 | INFO | circle | calculating area
2026-05-27 16:36:24,589 | INFO | circle | calculating perimeter
2026-05-27 16:36:24,589 | INFO | Rectangle | assdddf
2026-05-27 16:37:58,441 | INFO | circle | creating dictionary
2026-05-27 16:37:58,442 | INFO | circle | calculating area
2026-05-27 16:37:58,442 | INFO | circle | calculating perimeter
2026-05-27 16:38:31,731 | INFO | circle | creating dictionary
2026-05-27 16:38:31,731 | INFO | circle | calculating area
2026-05-27 16:38:31,731 | INFO | circle | calculating perimeter
2026-05-27 16:38:31,733 | INFO | Rectangle | assdddf
2026-05-27 16:39:02,054 | INFO | Rectangle | creating dictionary
2026-05-27 16:39:02,055 | INFO | Rectangle | calculating area
2026-05-27 16:39:02,055 | INFO | Rectangle | calculating perimeter
2026-05-27 16:39:02,056 | INFO | Rectangle | assdddf
2026-05-27 16:40:25,459 | INFO | circle | creating dictionary
2026-05-27 16:40:25,460 | INFO | circle | calculating area
2026-05-27 16:40:25,460 | INFO | circle | calculating perimeter
2026-05-27 16:46:38,909 | INFO | circle | creating dictionary
2026-05-27 16:46:38,910 | INFO | circle | calculating area
2026-05-27 16:46:38,910 | INFO | circle | calculating perimeter
2026-05-27 16:47:22,167 | INFO | circle | creating dictionary
2026-05-27 16:47:22,168 | INFO | circle | calculating area
2026-05-27 16:47:22,168 | INFO | circle | calculating perimeter
2026-05-27 16:47:22,168 | INFO | Rectangle | jfhdh
2026-05-27 16:48:19,307 | INFO | Rectangle | created
2026-05-27 16:48:19,308 | INFO | circle | creating dictionary
2026-05-27 16:48:19,308 | INFO | circle | calculating area
2026-05-27 16:48:19,308 | INFO | circle | calculating perimeter
